ACCIDENT_NO,PERSON_ID,cluster
T20240020682,A,0
T20240006056,B,2
T20240006056,A,0
T20240014308,B,4
T20240014308,A,1
T20240014308,01,1
T20240022346,B,2
T20240022346,A,0
T20240011593,B,0
T20240011593,A,2
T20240006326,B,2
T20240006326,A,0
T20240011099,A,0
T20210016187,B,2
T20240011099,B,2
T20240014136,B,2
T20240014136,A,0
T20230025981,A,1
T20230025981,B,4
T20230016567,01,1
T20240002899,A,4
T20230016567,A,1
T20240006395,A,2
T20240013881,A,1
T20240013881,B,4
T20240012088,A,6
T20240012088,B,4
T20230013562,B,1
T20230015496,01,2
T20230015496,02,0
T20180016625,A,1
T20180016625,B,1
T20180016625,01,4
T20230022938,A,4
T20230006885,B,2
T20230006885,A,0
T20220011111,A,2
T20230023240,A,0
T20230010709,B,0
T20230028719,01,0
T20230014571,B,0
T20230022761,B,1
T20230022938,B,6
T20230015826,B,2
T20220020571,A,0
T20240005640,01,0
T20240002432,A,2
T20230018653,01,2
T20230018653,A,2
T20230018653,B,0
T20220020571,B,2
T20240013506,B,1
T20240001468,B,2
T20230027614,B,6
T20230028100,A,2
T20230024342,A,4
T20230024342,B,1
T20210010124,B,2
T20230023291,A,0
T20230021123,B,1
T20240012791,A,4
T20240012791,A,4
T20230025855,01,0
T20240010160,A,0
T20230026590,B,2
T20220000547,B,2
T20240005100,B,2
T20170020556,A,1
T20240002425,A,3
T20240000968,02,2
T20240011535,B,1
T20240011535,A,4
T20240008394,B,2
T20240011495,B,2
T20240011495,A,0
T20240000968,01,2
T20240003592,01,0
T20240003592,03,2
T20240003592,04,0
T20240003592,B,0
T20240011419,A,2
T20240004468,03,3
T20240004468,A,3
T20240004468,B,3
T20240004468,01,3
T20240004468,02,3
T20240009458,A,1
T20230022441,03,6
T20230024880,A,2
T20230017257,A,0
T20180020491,B,2
T20240002267,B,0
T20240002267,A,0
T20240029294,B,2
T20230019842,B,2
T20230010256,A,0
T20190008669,B,2
T20230021278,B,1
T20230016859,A,3
T20230016859,A,3
T20240001447,A,0
T20240016126,B,0
T20240016126,A,0
T20240014300,B,2
T20240014300,A,0
T20240016104,A,2
T20240014275,B,2
T20220007886,A,0
T20230025644,A,2
T20220018741,A,3
T20240002912,A,1
T20240032135,A,2
T20230014560,A,0
T20230028805,A,0
T20230028805,B,2
T20240012932,A,0
T20240010414,A,0
T20240010414,B,2
T20240011274,A,0
T20210012835,B,2
T20230009521,B,3
T20230009521,01,3
T20240010640,02,4
T20190026127,B,4
T20190026127,A,1
T20240015515,B,2
T20210015408,A,2
T20240012116,A,0
T20230018173,02,1
T20230018173,A,1
T20230030217,A,1
